device_category,device_mobile_brand_name,device_browser,customer_id,user_pseudo_id,event_timestamp,device_language,country,source,medium,event_name,ga_session_number,ga_session_id,item_id,transaction_id,total_item_quantity,unique_items,purchase_revenue,partition_date,partition_month
desktop,Samsung,Safari,763,734157,2023-07-01 00:00:00,en,Japan,Google,Social,page_view,309,662143,8897,481.0,3,2,270.9685782067872,2023-07-01,2023-07
mobile,Samsung,Firefox,594,688730,2023-07-01 01:00:00,zh,Japan,Referral,Organic,page_view,262,756820,9534,24.0,4,3,461.99680985068517,2023-07-02,2023-07
mobile,Apple,Edge,566,885313,2023-07-01 02:00:00,en,Japan,Referral,CPC,page_view,293,595407,3463,464.0,5,3,300.20801718767103,2023-07-03,2023-07
mobile,Other,Chrome,752,252842,2023-07-01 03:00:00,jp,Japan,Referral,Social,page_view,770,671934,1160,436.0,8,2,485.9670492866491,2023-07-04,2023-07
mobile,Other,Chrome,878,467390,2023-07-01 04:00:00,zh,France,Direct,CPC,purchase,249,534468,4627,32.0,7,1,72.54330354387697,2023-07-05,2023-07
mobile,Xiaomi,Chrome,12,802858,2023-07-01 05:00:00,fr,France,Facebook,CPC,purchase,245,503051,7057,342.0,9,4,286.31102677444426,2023-07-06,2023-07
desktop,Xiaomi,Firefox,209,471831,2023-07-01 06:00:00,zh,USA,Facebook,Social,page_view,251,213947,3723,328.0,3,3,400.0718987631826,2023-07-07,2023-07
tablet,Xiaomi,Safari,165,622485,2023-07-01 07:00:00,fr,France,Google,Organic,purchase,123,110910,3561,5.0,1,1,265.1426619072295,2023-07-08,2023-07
desktop,Apple,Safari,878,747735,2023-07-01 08:00:00,fr,Taiwan,Facebook,CPC,page_view,325,707045,6118,445.0,1,1,50.077846213798935,2023-07-09,2023-07
desktop,Samsung,Chrome,294,685765,2023-07-01 09:00:00,zh,USA,Direct,Organic,page_view,986,584365,6590,193.0,1,2,293.52857076587276,2023-07-10,2023-07
mobile,Other,Edge,911,624532,2023-07-01 10:00:00,zh,Japan,Facebook,Social,add_to_cart,681,852249,9908,229.0,2,2,307.8102633920235,2023-07-11,2023-07
desktop,Other,Chrome,519,965885,2023-07-01 11:00:00,fr,Japan,Direct,CPC,page_view,947,859510,6850,136.0,2,2,365.71107799529955,2023-07-12,2023-07
mobile,Samsung,Chrome,78,550953,2023-07-01 12:00:00,fr,France,Google,Organic,page_view,501,894895,2244,322.0,7,1,381.7997000069096,2023-07-13,2023-07
desktop,Other,Edge,434,277561,2023-07-01 13:00:00,en,USA,Referral,Organic,page_view,687,244408,8178,399.0,9,4,386.53248066425056,2023-07-14,2023-07
mobile,Samsung,Chrome,577,957735,2023-07-01 14:00:00,zh,France,Direct,CPC,page_view,781,650822,1761,472.0,8,2,333.40497485128816,2023-07-15,2023-07
mobile,Apple,Firefox,614,390534,2023-07-01 15:00:00,zh,France,Referral,Organic,add_to_cart,716,757729,5443,215.0,4,4,111.82653727723579,2023-07-16,2023-07
desktop,Apple,Chrome,963,634535,2023-07-01 16:00:00,en,France,Google,Organic,page_view,837,518597,9989,494.0,2,2,205.09669914054228,2023-07-17,2023-07
desktop,Apple,Firefox,869,300123,2023-07-01 17:00:00,zh,USA,Direct,Social,add_to_cart,66,998728,7680,348.0,3,1,389.1843364441273,2023-07-18,2023-07
tablet,Samsung,Chrome,812,815079,2023-07-01 18:00:00,en,Japan,Direct,Social,page_view,827,447238,2676,363.0,5,4,476.94635678340256,2023-07-19,2023-07
tablet,Samsung,Safari,799,527894,2023-07-01 19:00:00,en,Taiwan,Facebook,Organic,add_to_cart,836,974337,7125,182.0,9,4,44.07874759412789,2023-07-20,2023-07
tablet,Oppo,Edge,683,581018,2023-07-01 20:00:00,zh,Japan,Direct,Organic,purchase,59,592402,5782,167.0,8,1,270.09065550961145,2023-07-21,2023-07
desktop,Other,Safari,77,307358,2023-07-01 21:00:00,jp,USA,Google,CPC,add_to_cart,731,589706,3237,281.0,3,4,159.6985243055317,2023-07-22,2023-07
desktop,Other,Chrome,48,916015,2023-07-01 22:00:00,fr,Japan,Referral,Social,add_to_cart,498,387551,5899,37.0,9,1,116.56997768683074,2023-07-23,2023-07
mobile,Oppo,Chrome,767,616456,2023-07-01 23:00:00,zh,Japan,Direct,CPC,page_view,373,948984,8236,162.0,3,1,255.37628834225893,2023-07-24,2023-07
tablet,Oppo,Firefox,82,239148,2023-07-02 00:00:00,jp,Taiwan,Google,Organic,add_to_cart,266,267011,8681,470.0,8,3,305.0142235754857,2023-07-25,2023-07
mobile,Apple,Chrome,895,246123,2023-07-02 01:00:00,en,Japan,Google,CPC,add_to_cart,653,716591,4277,451.0,1,2,9.837254552643218,2023-07-26,2023-07
mobile,Oppo,Chrome,721,497530,2023-07-02 02:00:00,jp,Japan,Direct,Organic,page_view,236,359153,4724,442.0,4,3,391.20225323958954,2023-07-27,2023-07
mobile,Samsung,Chrome,209,652958,2023-07-02 03:00:00,zh,Japan,Facebook,Social,purchase,898,519386,9149,489.0,4,1,410.84165497342656,2023-07-28,2023-07
mobile,Xiaomi,Safari,445,593973,2023-07-02 04:00:00,zh,France,Direct,Social,purchase,218,696196,5645,141.0,6,1,482.92785816112684,2023-07-29,2023-07
tablet,Samsung,Firefox,971,110236,2023-07-02 05:00:00,jp,USA,Direct,Organic,purchase,527,224506,1116,247.0,2,4,94.418647946224,2023-07-30,2023-07
mobile,Oppo,Safari,596,135568,2023-07-02 06:00:00,zh,USA,Facebook,Social,add_to_cart,814,384513,1782,430.0,7,1,299.30351836866924,2023-07-31,2023-07
desktop,Other,Firefox,522,731615,2023-07-02 07:00:00,fr,Taiwan,Google,Organic,page_view,441,892332,8843,102.0,5,1,216.17955987081527,2023-08-01,2023-07
