device_category,device_mobile_brand_name,device_browser,customer_id,user_pseudo_id,event_timestamp,device_language,country,source,medium,event_name,ga_session_number,ga_session_id,item_id,transaction_id,total_item_quantity,unique_items,purchase_revenue,partition_date,partition_month
tablet,Other,Edge,210,435386,2022-01-01 00:00:00,en,Japan,Google,CPC,purchase,223,712092,8021,396.0,1,1,251.4795721262205,2022-01-01,06
desktop,Oppo,Chrome,186,249909,2022-01-01 01:00:00,jp,France,Google,Organic,add_to_cart,568,754299,8235,423.0,9,4,323.1018012137217,2022-01-02,06
mobile,Samsung,Safari,364,231566,2022-01-01 02:00:00,zh,USA,Google,Organic,add_to_cart,819,314572,8958,357.0,9,1,264.4791624342382,2022-01-03,06
desktop,Other,Firefox,592,407713,2022-01-01 03:00:00,zh,Japan,Facebook,CPC,page_view,200,823104,5517,461.0,8,2,58.91379228302687,2022-01-04,06
mobile,Apple,Firefox,788,647356,2022-01-01 04:00:00,jp,Taiwan,Referral,CPC,add_to_cart,302,966295,7683,166.0,3,3,208.9859652920307,2022-01-05,06
mobile,Xiaomi,Chrome,955,160842,2022-01-01 05:00:00,en,France,Referral,Organic,add_to_cart,78,872600,9185,414.0,8,1,70.14293869525149,2022-01-06,06
desktop,Xiaomi,Chrome,673,357706,2022-01-01 06:00:00,en,Taiwan,Facebook,Social,purchase,490,965669,3739,366.0,8,2,298.31279906114,2022-01-07,06
tablet,Xiaomi,Edge,106,901580,2022-01-01 07:00:00,zh,USA,Facebook,Social,page_view,579,842364,5033,261.0,1,3,447.33892803668465,2022-01-08,06
tablet,Samsung,Chrome,599,745217,2022-01-01 08:00:00,en,France,Referral,CPC,purchase,521,958069,2288,205.0,7,2,27.963432950559913,2022-01-09,06
mobile,Apple,Chrome,347,583288,2022-01-01 09:00:00,en,Taiwan,Facebook,Organic,purchase,679,257759,7694,142.0,4,2,208.01632911751142,2022-01-10,06
mobile,Other,Edge,25,718892,2022-01-01 10:00:00,zh,France,Facebook,Social,add_to_cart,628,910257,5537,26.0,3,4,227.31784853988472,2022-01-11,06
tablet,Samsung,Chrome,144,299845,2022-01-01 11:00:00,jp,USA,Direct,Social,purchase,621,567724,7021,320.0,6,2,266.8950475546849,2022-01-12,06
mobile,Xiaomi,Firefox,68,118044,2022-01-01 12:00:00,fr,USA,Google,Social,page_view,631,346542,7814,193.0,1,1,489.5705728919381,2022-01-13,06
mobile,Other,Chrome,68,573712,2022-01-01 13:00:00,jp,France,Facebook,CPC,page_view,479,842333,6489,202.0,7,3,58.522311489586336,2022-01-14,06
desktop,Apple,Chrome,429,886425,2022-01-01 14:00:00,jp,Taiwan,Facebook,Social,add_to_cart,202,376293,3916,323.0,1,4,77.02656165529552,2022-01-15,06
mobile,Other,Safari,471,493094,2022-01-01 15:00:00,en,France,Facebook,Social,page_view,903,483351,8593,362.0,2,4,221.64409921703248,2022-01-16,06
desktop,Xiaomi,Edge,445,520036,2022-01-01 16:00:00,jp,France,Google,CPC,page_view,905,466643,5435,419.0,6,3,488.2122363534576,2022-01-17,06
mobile,Samsung,Firefox,145,124384,2022-01-01 17:00:00,jp,Japan,Direct,Organic,purchase,489,461762,795,227.0,7,2,235.31487273918907,2022-01-18,06
mobile,Samsung,Edge,618,461612,2022-01-01 18:00:00,fr,Japan,Direct,Organic,add_to_cart,183,191703,4952,256.0,9,2,39.8480717095039,2022-01-19,06
tablet,Other,Edge,122,244634,2022-01-01 19:00:00,fr,Japan,Facebook,CPC,page_view,711,320980,3496,266.0,1,3,325.31175364117104,2022-01-20,06
tablet,Other,Firefox,417,654365,2022-01-01 20:00:00,en,France,Referral,CPC,purchase,817,830348,6365,177.0,6,2,345.07277329111196,2022-01-21,06
mobile,Samsung,Edge,24,584401,2022-01-01 21:00:00,fr,USA,Direct,Social,purchase,771,429010,6029,329.0,7,2,79.05194243210721,2022-01-22,06
mobile,Xiaomi,Safari,690,887864,2022-01-01 22:00:00,zh,USA,Google,Social,add_to_cart,972,175214,9652,397.0,6,1,162.8422742689094,2022-01-23,06
mobile,Xiaomi,Chrome,51,942195,2022-01-01 23:00:00,fr,Taiwan,Referral,Social,purchase,536,343161,9193,321.0,3,4,98.07230041743249,2022-01-24,06
tablet,Xiaomi,Edge,224,393107,2022-01-02 00:00:00,jp,USA,Facebook,Social,purchase,458,115417,3100,146.0,3,3,472.8850667958268,2022-01-25,06
desktop,Other,Firefox,100,495443,2022-01-02 01:00:00,en,Japan,Direct,Social,page_view,650,317988,6154,371.0,7,3,101.32949617476248,2022-01-26,06
mobile,Other,Firefox,670,580752,2022-01-02 02:00:00,fr,USA,Referral,Organic,page_view,160,780203,5854,224.0,1,4,158.13575242999462,2022-01-27,06
tablet,Samsung,Chrome,289,421007,2022-01-02 03:00:00,jp,Japan,Google,CPC,purchase,144,406085,9143,151.0,7,3,35.94043219420318,2022-01-28,06
mobile,Other,Edge,286,817024,2022-01-02 04:00:00,en,USA,Referral,Organic,purchase,346,515298,7400,33.0,5,4,183.46020377503865,2022-01-29,06
