customer_id,created_by,registered_at,gender,birthday,membership_tier,is_sms,is_email,is_line
1,In-store,2020-01-01,Male,1970-01-01,Silver,1,0,1
2,In-store,2020-01-02,Female,1970-01-02,Silver,1,0,1
3,Online,2020-01-03,Male,1970-01-03,Silver,0,0,0
4,In-store,2020-01-04,Female,1970-01-04,Gold,1,1,0
5,In-store,2020-01-05,Male,1970-01-05,Silver,0,0,1
6,Online,2020-01-06,Other,1970-01-06,Gold,1,1,0
7,In-store,2020-01-07,Female,1970-01-07,Gold,1,1,1
8,Online,2020-01-08,Female,1970-01-08,Regular,0,1,0
9,Online,2020-01-09,Female,1970-01-09,Regular,1,0,0
10,Online,2020-01-10,Female,1970-01-10,Silver,0,0,0
11,Online,2020-01-11,Other,1970-01-11,Silver,1,0,1
12,In-store,2020-01-12,Male,1970-01-12,Gold,0,0,0
13,Online,2020-01-13,Female,1970-01-13,Silver,1,1,1
14,In-store,2020-01-14,Other,1970-01-14,Silver,1,1,1
15,In-store,2020-01-15,Female,1970-01-15,Gold,1,0,1
16,In-store,2020-01-16,Male,1970-01-16,Silver,0,0,0
17,In-store,2020-01-17,Female,1970-01-17,Silver,0,0,0
18,In-store,2020-01-18,Other,1970-01-18,Gold,0,0,0
19,Online,2020-01-19,Male,1970-01-19,Gold,1,0,1
20,Online,2020-01-20,Other,1970-01-20,Regular,0,0,1
21,Online,2020-01-21,Male,1970-01-21,Gold,0,0,0
22,Online,2020-01-22,Male,1970-01-22,Regular,0,1,1
23,In-store,2020-01-23,Male,1970-01-23,Silver,0,1,0
24,Online,2020-01-24,Female,1970-01-24,Gold,0,1,0
25,In-store,2020-01-25,Other,1970-01-25,Gold,0,1,0
26,In-store,2020-01-26,Other,1970-01-26,Gold,0,0,0
27,Online,2020-01-27,Other,1970-01-27,Silver,0,0,1
28,Online,2020-01-28,Male,1970-01-28,Regular,0,0,0
29,Online,2020-01-29,Female,1970-01-29,Silver,0,0,0
30,Online,2020-01-30,Male,1970-01-30,Silver,1,0,0
31,In-store,2020-01-31,Other,1970-01-31,Gold,1,1,0
32,In-store,2020-02-01,Female,1970-02-01,Regular,0,0,0
33,Online,2020-02-02,Female,1970-02-02,Silver,1,1,0
34,In-store,2020-02-03,Female,1970-02-03,Gold,1,0,0
35,In-store,2020-02-04,Other,1970-02-04,Silver,0,1,1
36,In-store,2020-02-05,Female,1970-02-05,Silver,0,0,1
37,Online,2020-02-06,Female,1970-02-06,Gold,0,1,1
38,In-store,2020-02-07,Male,1970-02-07,Gold,1,0,1
39,Online,2020-02-08,Male,1970-02-08,Regular,0,0,0
40,Online,2020-02-09,Female,1970-02-09,Silver,1,0,1
41,In-store,2020-02-10,Female,1970-02-10,Gold,0,0,1
42,In-store,2020-02-11,Male,1970-02-11,Gold,1,1,1
43,Online,2020-02-12,Male,1970-02-12,Regular,1,0,0
44,In-store,2020-02-13,Male,1970-02-13,Regular,0,1,1
45,In-store,2020-02-14,Other,1970-02-14,Gold,0,0,1
46,Online,2020-02-15,Other,1970-02-15,Regular,1,1,0
47,Online,2020-02-16,Male,1970-02-16,Gold,1,0,1
48,Online,2020-02-17,Female,1970-02-17,Silver,0,0,0
49,Online,2020-02-18,Male,1970-02-18,Regular,0,1,1
50,In-store,2020-02-19,Other,1970-02-19,Silver,1,0,0
51,In-store,2020-02-20,Female,1970-02-20,Silver,0,0,1
52,Online,2020-02-21,Other,1970-02-21,Silver,1,1,1
53,Online,2020-02-22,Female,1970-02-22,Gold,0,0,1
54,Online,2020-02-23,Other,1970-02-23,Silver,0,1,0
55,In-store,2020-02-24,Female,1970-02-24,Silver,0,0,1
56,Online,2020-02-25,Female,1970-02-25,Silver,1,1,0
57,In-store,2020-02-26,Female,1970-02-26,Gold,0,1,0
58,Online,2020-02-27,Female,1970-02-27,Silver,1,1,0
59,Online,2020-02-28,Other,1970-02-28,Silver,0,1,0
60,Online,2020-02-29,Other,1970-03-01,Regular,1,0,1
61,In-store,2020-03-01,Female,1970-03-02,Gold,1,0,1
62,In-store,2020-03-02,Female,1970-03-03,Silver,0,1,1
63,In-store,2020-03-03,Other,1970-03-04,Regular,1,0,0
64,Online,2020-03-04,Female,1970-03-05,Gold,1,0,1
65,In-store,2020-03-05,Female,1970-03-06,Gold,1,0,0
66,In-store,2020-03-06,Female,1970-03-07,Gold,1,1,0
67,Online,2020-03-07,Male,1970-03-08,Gold,0,0,0
68,Online,2020-03-08,Female,1970-03-09,Gold,0,0,1
69,In-store,2020-03-09,Male,1970-03-10,Gold,0,1,1
70,In-store,2020-03-10,Female,1970-03-11,Silver,1,0,0
71,In-store,2020-03-11,Other,1970-03-12,Silver,1,1,1
72,In-store,2020-03-12,Male,1970-03-13,Silver,0,1,1
73,Online,2020-03-13,Male,1970-03-14,Silver,0,1,0
74,Online,2020-03-14,Female,1970-03-15,Regular,1,0,0
75,Online,2020-03-15,Female,1970-03-16,Silver,0,0,1
76,In-store,2020-03-16,Male,1970-03-17,Gold,0,1,0
77,In-store,2020-03-17,Other,1970-03-18,Silver,1,1,0
78,Online,2020-03-18,Other,1970-03-19,Silver,0,1,1
79,Online,2020-03-19,Female,1970-03-20,Gold,1,1,1
80,In-store,2020-03-20,Other,1970-03-21,Silver,0,1,0
81,In-store,2020-03-21,Other,1970-03-22,Silver,1,1,1
82,Online,2020-03-22,Female,1970-03-23,Silver,1,0,0
83,Online,2020-03-23,Other,1970-03-24,Regular,1,1,0
84,Online,2020-03-24,Female,1970-03-25,Silver,1,1,1
85,In-store,2020-03-25,Male,1970-03-26,Gold,1,1,0
86,In-store,2020-03-26,Female,1970-03-27,Gold,0,0,0
87,In-store,2020-03-27,Male,1970-03-28,Silver,0,0,0
